Entry,Pos/Neg
1,NA
2,1
3,0
4,1
5,1
6,0
7,1
8,0
9,0
10,0
11,1
12,NA
13,0
14,0
15,0
16,0
17,NA
18,0
19,1
20,0
21,0
22,0
23,NA
24,0
25,0
26,1
27,1
28,1
29,NA
30,0
31,0
32,NA
33,1
34,0
35,1
36,NA
37,0
38,0
39,0
40,0
41,0
42,1
43,NA
44,0
45,1
46,0
47,1
48,1
49,NA
50,NA
51,0
52,0
53,1
54,0
55,0
56,NA
57,0
58,0
59,0
60,0
61,1
62,NA
63,1
64,NA
65,NA
66,1
67,1
68,0
69,1
70,1
71,NA
72,NA
73,0
74,NA
75,NA
76,NA
77,1
78,1
79,0
80,0
81,0
82,NA
83,1
84,1
85,0
86,0
87,0
88,1
89,0
90,0
91,1
92,1
93,1
94,NA
95,NA
96,0
97,0
98,NA
99,0
100,0
101,0
102,NA
103,NA
104,0
105,NA
106,0
107,0
108,1
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,NA
118,1
119,0
120,0
121,1
122,0
123,1
124,1
125,0
126,NA
127,NA
128,0
129,NA
130,1
131,NA
132,0
133,0
134,1
135,0
136,1
137,NA
138,0
139,0
140,0
141,0
142,0
143,NA
144,NA
145,0
146,NA
147,1
148,0
149,1
150,1
151,1
152,0
153,0
154,0
155,0
156,1
157,1
158,1
159,1
160,0
161,0
162,1
163,NA
164,0
165,1
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,1
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,0
186,1
187,NA
188,1
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,0
203,0
204,0
205,NA
206,0
207,0
208,0
209,1
210,1
211,1
212,0
213,1
214,1
215,1
216,0
217,0
218,NA
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,NA
241,0
242,1
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,1
251,0
252,0
253,0
254,1
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,1
268,0
269,NA
270,1
271,0
272,1
273,1
274,0
275,0
276,0
277,0
278,1
279,0
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,1
289,0
290,1
291,1
292,0
293,1
294,0
295,0
296,0
297,0
298,NA
299,NA
300,NA
301,0
302,NA
303,1
304,0
305,0
306,1
307,1
308,NA
309,1
310,1
311,1
312,1
313,1
314,1
315,0
316,1
317,0
318,1
319,NA
320,1
321,1
322,1
323,1
324,1
325,1
326,NA
327,NA
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,0
339,1
340,1
341,1
342,NA
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,0
353,1
354,0
355,NA
356,1
357,1
358,1
359,1
360,
361,1
362,0
363,1
364,NA
365,1
366,1
367,0
368,1
369,NA
370,NA
371,1
372,0
373,0
374,0
375,NA
376,0
377,0
378,0
379,NA
380,1
381,0
382,0
383,0
384,0
385,NA
386,1
387,NA
388,0
389,0
390,0
391,1
392,1
393,1
394,1
395,0
396,1
397,0
398,1
399,0
400,0
401,0
402,0
403,0
404,0
405,1
406,0
407,0
408,1
409,1
410,NA
411,0
412,0
413,NA
414,0
415,0
416,0
417,1
418,0
419,0
420,1
421,0
422,0
423,0
424,0
425,1
426,NA
427,0
428,1
429,1
430,0
431,0
432,0
433,1
434,NA
435,0
436,0
437,0
438,1
439,0
440,1
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,0
452,0
453,0
454,0
455,1
456,1
457,0
458,0
459,0
460,1
461,0
462,1
463,0
464,1
465,0
466,0
467,0
468,0
469,0
470,NA
471,1
472,1
473,1
474,0
475,0
476,1
477,0
478,0
479,0
480,0
481,0
482,1
483,NA
484,0
485,0
486,1
487,1
488,0
489,0
490,0
491,1
492,0
493,0
494,NA
495,0
496,1
497,0
498,0
499,0
500,0
501,NA
502,1
503,1
504,0
505,NA
506,0
507,1
508,1
509,0
510,1
511,0
512,NA
513,0
514,0
515,0
516,0
517,1
518,0
519,0
520,1
521,NA
522,0
523,0
524,0
525,0
526,0
527,1
528,0
529,0
530,1
531,0
532,1
533,NA
534,0
535,NA
536,0
537,0
538,NA
539,NA
540,0
541,0
542,0
543,0
544,0
545,1