,ID,Major,International,Living_Arrange,Instruct_Difficulty,Motivation,Interaction_Students,Interaction_Instructor,Sentiment_Score,Joy_Count,Anger_Count,Pos_Count,Neg_Count
277,277,STEM,No,At home in californa,No,Less motivated than before?,2,1,0,2,2,7,9
278,278,STEM,No,At home in californa,No,Equally motivated,2,2,1,4,1,10,4
279,279,STEM,Yes,Outside US,Yes,Less motivated than before?,2,2,0,2,0,7,3
280,280,STEM,No,At home in californa,No,Less motivated than before?,1,1,0,1,0,8,3
281,281,Non-STEM,Yes,In US but outside CA,No,Less motivated than before?,1,2,0,0,1,6,6
282,282,Non-STEM,Yes,At home in californa,Yes,Less motivated than before?,2,1,0,0,0,1,4
283,283,STEM,No,At home in californa,No,Equally motivated,2,2,0,3,1,8,6
284,284,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,0,1,0,7,7
285,285,Non-STEM,No,At home in californa,No,Less motivated than before?,2,2,1,1,2,8,6
286,286,Non-STEM,No,In my apartment,Yes,Less motivated than before?,2,2,0,4,1,5,2
287,287,STEM,No,At home in californa,Yes,Less motivated than before?,1,2,0,1,0,1,1
288,288,STEM,Yes,In my apartment,No,More motivated,1,2,1,0,0,1,2
289,289,Non-STEM,No,At home in californa,No,Equally motivated,2,2,0,1,0,3,5
290,290,Non-STEM,No,In US but outside CA,No,Less motivated than before?,2,1,1,0,1,7,6
291,291,Non-STEM,No,At home in californa,Yes,Equally motivated,1,2,1,2,2,8,7
292,292,Non-STEM,No,In US but outside CA,No,Equally motivated,2,1,0,1,0,5,0
293,293,STEM,No,At home in californa,No,More motivated,2,1,1,3,0,6,2
294,294,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,0,0,2,1
295,295,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,0,2,0,5,3
296,296,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,4,1,12,7
297,297,Non-STEM,No,At home in californa,Yes,Equally motivated,2,1,0,0,0,2,0
298,298,STEM,No,In US but outside CA,No,Less motivated than before?,2,1,NA,0,0,0,0
299,299,STEM,No,In US but outside CA,No,Equally motivated,2,2,NA,0,0,0,0
300,300,STEM,No,At home in californa,No,More motivated,2,1,NA,0,0,0,0
301,301,STEM,No,In US but outside CA,No,Less motivated than before?,2,1,0,0,0,0,1
302,302,STEM,No,At home in californa,No,Equally motivated,2,1,NA,0,0,0,0
303,303,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,0,1,3,4
304,304,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,0,0,0,1
305,305,STEM,No,At home in californa,No,More motivated,1,2,0,0,0,3,1
306,306,STEM,No,In my apartment,No,Equally motivated,2,2,1,2,0,12,5
307,307,STEM,No,At home in californa,No,Less motivated than before?,2,2,1,1,3,5,6
308,308,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,NA,0,0,0,0
309,309,STEM,Yes,At home in californa,Yes,Less motivated than before?,1,2,1,0,1,4,3
310,310,STEM,No,At home in californa,No,Less motivated than before?,1,1,1,2,1,6,2
311,311,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,1,6,1,12,8
312,312,STEM,No,At home in californa,Yes,Equally motivated,2,1,1,1,0,8,7
313,313,STEM,No,In US but outside CA,Yes,Equally motivated,2,1,1,2,4,10,4
314,314,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,19,13,35,18
315,315,Non-STEM,No,At home in californa,No,Equally motivated,2,1,0,1,1,3,1
316,316,Non-STEM,No,At home in californa,No,Less motivated than before?,1,1,1,1,2,11,5
317,317,Non-STEM,No,At home in californa,Yes,Less motivated than before?,1,1,0,3,1,18,9
318,318,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,1,1,1,6,3
319,319,STEM,No,At home in californa,Yes,Equally motivated,2,1,NA,0,0,0,0
320,320,Non-STEM,No,In US but outside CA,No,Equally motivated,2,1,1,2,0,5,4
321,321,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,0,0,1,4
322,322,Non-STEM,No,At home in californa,Yes,Equally motivated,1,1,1,0,0,12,7
323,323,STEM,No,In my apartment,No,More motivated,1,2,1,0,0,6,1
324,324,STEM,No,In US but outside CA,No,More motivated,1,2,1,9,2,29,12
325,325,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,1,4,4,16,10
326,326,STEM,No,At home in californa,,Less motivated than before?,2,1,NA,1,1,2,3
327,327,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,NA,0,0,0,0
328,328,Non-STEM,No,In US but outside CA,No,Less motivated than before?,1,1,1,0,1,2,3
329,329,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,7,2,20,8
330,330,STEM,No,At home in californa,No,Less motivated than before?,2,1,1,1,1,1,2
331,331,STEM,No,At home in californa,No,More motivated,2,1,1,3,2,7,4
332,332,STEM,Yes,Outside US,No,Equally motivated,2,1,1,2,0,7,5
333,333,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,2,0,3,0
334,334,STEM,No,At home in californa,Yes,Equally motivated,1,1,1,2,0,3,0
335,335,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,1,6,1,15,4
336,336,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,4,1,20,5
337,337,Non-STEM,No,At home in californa,Yes,Equally motivated,1,2,1,3,0,11,3
338,338,STEM,No,In my apartment,Yes,Less motivated than before?,2,1,0,1,0,3,1
339,339,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,2,1,1,1,4,4
340,340,STEM,No,In my apartment,Yes,Less motivated than before?,2,2,1,2,1,8,3
341,341,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,4,5,10,14
342,342,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,NA,0,0,2,0
343,343,STEM,No,At home in californa,Yes,Less motivated than before?,1,2,1,3,1,4,7
344,344,STEM,No,At home in californa,No,Less motivated than before?,2,1,1,2,1,6,2
345,345,Non-STEM,No,At home in californa,Yes,More motivated,2,1,1,4,2,16,3
346,346,STEM,No,In US but outside CA,No,Equally motivated,2,2,1,3,1,13,6
347,347,STEM,No,In US but outside CA,No,Equally motivated,2,2,1,3,1,13,6
348,348,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,1,0,1,2,2
349,349,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,1,4,0,8,5
350,350,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,19,13,35,18
351,351,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,8,2,20,6
352,352,STEM,No,At home in californa,No,Less motivated than before?,2,2,0,1,1,6,3
353,353,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,0,0,12,9
354,354,STEM,Yes,At home in californa,Yes,Less motivated than before?,2,2,0,8,1,20,8
355,355,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,NA,0,0,0,0
356,356,STEM,No,At home in californa,No,More motivated,2,2,1,3,0,7,3
357,357,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,2,1,5,1,9,8
358,358,Non-STEM,No,At home in californa,No,Equally motivated,2,2,1,3,2,9,5
359,359,STEM,Yes,At home in californa,No,Equally motivated,2,1,1,2,0,6,5
360,360,Non-STEM,No,In US but outside CA,No,Equally motivated,2,2,,2,2,8,7
361,361,STEM,No,In US but outside CA,Yes,Equally motivated,2,1,1,4,3,10,8
362,362,Non-STEM,No,At home in californa,Yes,More motivated,2,2,0,1,1,8,2
363,363,STEM,No,At home in californa,No,Less motivated than before?,2,1,1,3,0,5,7
364,364,STEM,No,In my apartment,No,Less motivated than before?,2,2,NA,0,0,0,0
365,365,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,0,3,5,10
366,366,STEM,No,At home in californa,No,Less motivated than before?,2,1,1,6,3,24,11
367,367,Non-STEM,Yes,In my apartment,No,More motivated,2,1,0,2,1,6,4
368,368,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,0,0,0,0
369,369,Non-STEM,No,At home in californa,Yes,Less motivated than before?,1,2,NA,0,0,0,0
370,370,STEM,No,At home in californa,No,Less motivated than before?,2,2,NA,0,0,4,2
371,371,STEM,No,At home in californa,No,Less motivated than before?,2,1,1,1,2,5,7
372,372,STEM,No,At home in californa,Yes,Less motivated than before?,1,1,0,2,2,8,10
373,373,STEM,No,At home in californa,No,Equally motivated,2,1,0,5,2,11,9
374,374,STEM,No,In dorms,Yes,Less motivated than before?,2,1,0,0,0,0,0
375,375,STEM,Yes,In my apartment,Yes,Less motivated than before?,2,1,NA,2,1,4,8
376,376,Non-STEM,Yes,In my apartment,No,More motivated,1,2,0,5,2,9,5
377,377,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,5,2,9,4
378,378,STEM,No,In US but outside CA,No,Less motivated than before?,2,2,0,0,0,0,0
379,379,STEM,No,At home in californa,No,Less motivated than before?,2,1,NA,4,1,10,2
380,380,STEM,No,At home in californa,No,Less motivated than before?,2,2,1,1,1,4,4
381,381,Non-STEM,No,At home in californa,No,Less motivated than before?,1,1,0,2,1,7,4
382,382,STEM,No,At home in californa,No,Less motivated than before?,2,1,0,1,1,7,3
383,383,STEM,No,At home in californa,No,Less motivated than before?,2,1,0,1,3,2,6
384,384,STEM,Yes,At home in californa,Yes,Equally motivated,2,1,0,0,0,0,0
385,385,STEM,Yes,In my apartment,No,Less motivated than before?,2,1,NA,2,0,8,1
386,386,STEM,Yes,In my apartment,No,Equally motivated,2,1,1,0,0,0,0
387,387,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,NA,0,0,1,1
388,388,STEM,No,At home in californa,No,Less motivated than before?,2,1,0,0,1,1,1
389,389,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,0,4,0,15,5
390,390,Non-STEM,No,At home in californa,No,Equally motivated,1,2,0,2,1,3,3
391,391,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,0,0,3,2
392,392,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,1,1,2,10,4
393,393,STEM,No,In US but outside CA,No,Less motivated than before?,2,1,1,2,0,6,1
394,394,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,1,2,1,8,3
395,395,STEM,Yes,Outside US,Yes,More motivated,2,2,0,4,3,10,3
396,396,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,0,1,6,8
397,397,STEM,No,At home in californa,No,Equally motivated,1,2,0,0,0,1,2
398,398,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,0,1,2,4
399,399,Non-STEM,Yes,Outside US,Yes,Less motivated than before?,2,1,0,4,0,16,2
400,400,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,1,3,8,11
401,401,Non-STEM,No,At home in californa,No,Less motivated than before?,2,2,0,0,0,1,3
402,402,STEM,Yes,Outside US,Yes,Less motivated than before?,1,2,0,4,2,10,6
403,403,Non-STEM,No,In US but outside CA,No,Less motivated than before?,2,1,0,4,2,18,8
404,404,STEM,No,At home in californa,No,Equally motivated,2,2,0,2,0,8,10
405,405,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,2,2,3,6
406,406,Non-STEM,No,At home in californa,Yes,Less motivated than before?,1,1,0,6,0,11,3
407,407,STEM,Yes,In my apartment,No,Less motivated than before?,2,1,0,0,0,1,0
408,408,STEM,Yes,In my apartment,No,Less motivated than before?,2,1,1,2,0,3,0
409,409,STEM,Yes,In my apartment,No,Less motivated than before?,2,1,1,0,0,0,0
410,410,STEM,No,In my apartment,Yes,Less motivated than before?,2,1,NA,3,0,13,6
411,411,STEM,No,In my apartment,Yes,Less motivated than before?,2,1,0,3,0,13,6
412,412,STEM,Yes,In my apartment,No,Less motivated than before?,1,2,0,0,0,0,0
413,413,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,NA,0,0,3,2
414,414,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,0,2,2,17,15
415,415,Non-STEM,No,In US but outside CA,Yes,Equally motivated,1,1,0,1,1,3,2
416,416,Non-STEM,No,In US but outside CA,No,Less motivated than before?,2,2,0,0,1,1,2
417,417,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,1,0,1,3,2
418,418,Non-STEM,No,At home in californa,Yes,More motivated,2,2,0,1,0,2,0
419,419,Non-STEM,No,At home in californa,Yes,Equally motivated,1,2,0,1,1,3,4
420,420,Non-STEM,No,In US but outside CA,No,Less motivated than before?,2,2,1,0,1,2,2
421,421,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,1,5,6,10
422,422,STEM,No,At home in californa,Yes,Equally motivated,2,1,,0,1,4,2
423,423,STEM,No,In US but outside CA,No,Less motivated than before?,2,2,,1,1,2,4
424,424,Non-STEM,No,At home in californa,No,More motivated,2,2,,1,0,11,5
425,425,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,0,0,0,0
426,426,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,4,1,4,4
427,427,Non-STEM,No,At home in californa,Yes,Equally motivated,1,2,,3,2,6,2
428,428,Non-STEM,No,At home in californa,No,Equally motivated,1,2,,0,1,1,1
429,429,STEM,No,At home in californa,No,Less motivated than before?,2,2,,0,1,3,3
430,430,STEM,No,In my apartment,Yes,Less motivated than before?,2,1,,3,2,11,4
431,431,Non-STEM,No,In my apartment,No,Less motivated than before?,2,2,,0,1,7,1
432,432,Non-STEM,No,At home in californa,No,Equally motivated,1,1,,0,0,3,1
433,433,STEM,No,At home in californa,No,Equally motivated,2,2,,0,0,0,1
434,434,Non-STEM,No,In US but outside CA,No,Equally motivated,2,2,,1,0,6,3
435,435,STEM,No,At home in californa,Yes,More motivated,2,2,,3,2,13,4
436,436,Non-STEM,No,In US but outside CA,Yes,Equally motivated,2,1,,2,0,11,5
437,437,Non-STEM,No,At home in californa,No,Equally motivated,2,1,,5,0,11,0
438,438,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,12,3,37,20
439,439,STEM,No,At home in californa,No,Equally motivated,2,1,,2,0,5,0
440,440,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,,0,2,3,3
441,441,Non-STEM,No,At home in californa,No,More motivated,2,1,,2,0,8,4
442,442,STEM,No,At home in californa,Yes,Equally motivated,2,1,,0,0,2,3
443,443,STEM,Yes,Outside US,Yes,Less motivated than before?,2,1,,1,1,2,3
444,444,Non-STEM,No,At home in californa,Yes,Less motivated than before?,1,2,,3,2,12,1
445,445,Non-STEM,Yes,In my apartment,No,Less motivated than before?,2,2,,0,0,3,0
446,446,Non-STEM,No,In US but outside CA,No,Less motivated than before?,1,2,,0,0,4,0
447,447,STEM,No,At home in californa,No,Less motivated than before?,2,1,,3,1,8,11
448,448,STEM,No,In US but outside CA,No,Less motivated than before?,2,2,,4,0,8,5
449,449,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,,1,1,2,1
450,450,STEM,No,In dorms,No,Less motivated than before?,2,1,,1,1,6,1
451,451,STEM,No,At home in californa,No,Equally motivated,1,2,,0,0,1,1
452,452,Non-STEM,No,At home in californa,Yes,More motivated,2,1,,0,1,5,6
453,453,STEM,No,In my apartment,No,Less motivated than before?,1,1,,10,2,22,6
454,454,STEM,No,At home in californa,No,Less motivated than before?,1,2,,1,1,9,1
455,455,Non-STEM,No,In my apartment,Yes,Less motivated than before?,2,1,,2,1,3,7
456,456,Non-STEM,No,In my apartment,Yes,Less motivated than before?,2,1,,3,0,6,0
457,457,,,,,,2,1,,2,0,3,0
458,458,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,,0,0,5,2
459,459,STEM,No,In US but outside CA,No,Equally motivated,2,1,,3,1,6,5
460,460,STEM,No,At home in californa,Yes,Equally motivated,2,1,,3,0,5,0
461,461,STEM,Yes,Outside US,Yes,Equally motivated,2,1,,0,0,3,1
462,462,STEM,No,At home in californa,No,Less motivated than before?,2,1,,1,1,5,4
463,463,STEM,No,At home in californa,No,More motivated,1,2,,3,1,6,5
464,464,STEM,Yes,In dorms,Yes,Less motivated than before?,2,2,,5,2,9,7
465,465,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,1,1,5,5
466,466,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,2,4,16,11
467,467,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,,1,1,6,8
468,468,STEM,Yes,Outside US,No,Less motivated than before?,2,1,,2,2,3,5
469,469,,,,,,NA,NA,,0,0,0,0
470,470,STEM,No,At home in californa,No,Less motivated than before?,2,1,,1,2,5,4
471,471,Non-STEM,Yes,Outside US,No,Equally motivated,2,1,,0,0,1,0
472,472,STEM,No,In my apartment,No,Equally motivated,2,1,,4,0,7,3
473,473,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,0,0,3,3
474,474,STEM,No,In my apartment,Yes,Less motivated than before?,2,1,,0,0,2,2
475,475,STEM,No,At home in californa,No,Equally motivated,1,2,,0,0,3,0
476,476,Non-STEM,No,In my apartment,Yes,Less motivated than before?,2,1,,5,2,8,2
477,477,Non-STEM,No,At home in californa,No,Less motivated than before?,2,2,,1,0,3,2
478,478,Non-STEM,No,At home in californa,Yes,Equally motivated,2,2,,2,1,7,5
479,479,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,,3,0,7,0
480,480,STEM,Yes,Outside US,Yes,Less motivated than before?,2,2,,0,3,0,3
481,481,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,1,0,6,2
482,482,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,8,3,26,9
483,483,STEM,No,At home in californa,No,Equally motivated,2,2,NA,0,0,1,0
484,484,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,0,0,3,4
485,485,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,0,0,0,1
486,486,Non-STEM,No,At home in californa,No,Less motivated than before?,1,1,1,2,2,16,10
487,487,Non-STEM,Yes,At home in californa,No,Equally motivated,2,2,1,0,0,2,1
488,488,STEM,No,In US but outside CA,No,Less motivated than before?,2,2,0,0,0,2,0
489,489,STEM,No,At home in californa,No,Less motivated than before?,2,1,0,0,0,4,1
490,490,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,0,1,1,5,3
491,491,Non-STEM,No,At home in californa,No,Less motivated than before?,1,2,1,3,2,8,4
492,492,Non-STEM,No,At home in californa,No,Equally motivated,2,1,0,3,1,9,5
493,493,Non-STEM,No,At home in californa,No,Less motivated than before?,1,1,0,2,0,10,4
494,494,STEM,No,At home in californa,No,Less motivated than before?,2,2,NA,0,0,0,0
495,495,STEM,No,In dorms,Yes,Less motivated than before?,2,2,0,7,6,19,17
496,496,STEM,No,At home in californa,No,Less motivated than before?,2,2,1,3,1,5,4
497,497,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,0,4,5,10,10
498,498,Non-STEM,No,At home in californa,Yes,Equally motivated,2,1,0,4,0,10,2
499,499,STEM,No,At home in californa,No,More motivated,1,2,0,1,1,9,3
500,500,Non-STEM,No,In US but outside CA,Yes,Equally motivated,2,2,0,1,3,2,4
501,501,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,NA,1,0,2,2
502,502,STEM,Yes,Outside US,Yes,Less motivated than before?,2,2,1,3,1,7,2
503,503,STEM,Yes,Outside US,Yes,Less motivated than before?,2,2,1,4,0,8,5
504,504,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,0,1,0,2,2
505,505,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,NA,0,0,0,0
506,506,STEM,No,At home in californa,No,Equally motivated,2,2,0,0,2,2,4
507,507,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,4,0,10,2
508,508,Non-STEM,Yes,At home in californa,Yes,Less motivated than before?,2,1,1,2,0,9,5
509,509,STEM,No,In US but outside CA,No,Less motivated than before?,2,2,0,0,0,7,1
510,510,STEM,Yes,In US but outside CA,No,Less motivated than before?,1,1,1,2,0,7,3
511,511,Non-STEM,No,Outside US,Yes,Less motivated than before?,2,1,0,0,0,8,0
512,512,STEM,No,At home in californa,No,Less motivated than before?,1,1,NA,0,0,0,0
513,513,Non-STEM,No,In my apartment,No,Less motivated than before?,2,1,0,1,2,3,6
514,514,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,1,3,5,9
515,515,STEM,Yes,In US but outside CA,Yes,Less motivated than before?,2,1,0,0,1,3,5
516,516,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,0,1,1,3,1
517,517,STEM,Yes,In my apartment,No,Equally motivated,2,2,1,0,0,2,2
518,518,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,0,0,0,0,1
519,519,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,2,1,6,4
520,520,STEM,No,At home in californa,No,More motivated,2,2,1,2,1,10,3
521,521,STEM,No,At home in californa,No,Equally motivated,2,1,NA,1,1,2,3
522,522,STEM,Yes,Outside US,Yes,Less motivated than before?,2,1,0,0,0,1,0
523,523,Non-STEM,No,In my apartment,Yes,Less motivated than before?,2,2,0,4,1,5,2
524,524,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,0,1,2,8,2
525,525,Non-STEM,No,In my apartment,No,More motivated,2,1,0,2,2,3,3
526,526,Non-STEM,No,At home in californa,No,Less motivated than before?,1,2,0,1,0,7,5
527,527,STEM,No,In dorms,No,Less motivated than before?,2,2,1,3,1,15,1
528,528,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,2,1,10,2
529,529,Non-STEM,No,At home in californa,Yes,Equally motivated,1,2,0,0,0,3,3
530,530,STEM,Yes,Outside US,Yes,Equally motivated,2,1,1,2,0,7,5
531,531,Non-STEM,No,In my apartment,No,Less motivated than before?,2,1,0,2,1,8,9
532,532,Non-STEM,No,At home in californa,No,Equally motivated,2,1,1,2,1,10,6
533,533,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,2,NA,0,0,1,1
534,534,STEM,Yes,In my apartment,No,Equally motivated,2,2,0,0,1,2,2
535,535,STEM,Yes,Outside US,Yes,Less motivated than before?,1,2,NA,0,0,0,1
536,536,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,3,2,10,4
537,537,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,3,1,16,5
538,538,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,NA,1,2,4,11
539,539,STEM,Yes,Outside US,Yes,Equally motivated,2,1,NA,0,0,1,0
540,540,STEM,No,In my apartment,Yes,Less motivated than before?,2,1,0,1,0,3,4
541,541,STEM,No,At home in californa,No,Equally motivated,2,1,0,0,0,0,1
542,542,STEM,No,At home in californa,No,Less motivated than before?,2,2,0,2,1,5,4
543,543,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,0,0,1,1
544,544,Non-STEM,Yes,Outside US,Yes,Less motivated than before?,2,1,0,3,1,6,2
545,545,Non-STEM,No,At home in californa,No,Equally motivated,2,1,1,1,1,3,5
