county,2017,2018,2019
Alameda,1.22984E+11,1.2717E+11,1.2971E+11
Alpine,104377000,103549000,114254000
Amador,1645661000,1679855000,1786635000
Butte,9194683000,9366983000,9897121000
Calaveras,1427084000,1393616000,1589059000
Colusa,1286954000,1519580000,1514361000
Contra Costa,72685616000,74579000000,76523000000
Del Norte,789635000,801345000,842938000
El Dorado,7396877000,7585133000,7967457000
Fresno,43124599000,44264000000,46009000000
Glenn,1116199000,1256633000,1310042000
Humboldt,5570454000,5706172000,5974402000
Imperial,8609928000,8493669000,8980597000
Inyo,1263468000,1208235000,1261469000
Kern,48399815000,49292000000,51417000000
Kings,6140324000,6250134000,6609432000
Lake,1886380000,2073320000,2189985000
Lassen,1200996000,1195312000,1262036000
Los Angeles,6.97594E+11,7.0885E+11,7.2694E+11
Madera,6333400000,6456568000,6740169000
Marin,22718463000,23487000000,23796000000
Mariposa,701847000,805279000,862546000
Mendocino,3559944000,3692526000,3856796000
Merced,9941052000,9918371000,10383000000
Modoc,403803000,410576000,460751000
Mono,1103153000,1042587000,1162497000
Monterey,26213769000,26821000000,27581000000
Napa,9973528000,10053000000,10284000000
Nevada,4088358000,4151624000,4428088000
Orange,2.24425E+11,2.2832E+11,2.3332E+11
Placer,19713339000,20596000000,21532000000
Plumas,1127893000,1056830000,1245201000
Riverside,76779452000,78802000000,82105000000
Sacramento,82460874000,84870000000,88620000000
San Benito,2176114000,2244744000,2363094000
San Bernardino,83564142000,85685000000,89779000000
San Diego,2.11115E+11,2.1751E+11,2.2227E+11
San Francisco,1.59658E+11,1.6871E+11,1.7851E+11
San Joaquin,28468464000,29554000000,30486000000
San Luis Obispo,15842274000,16352000000,16661000000
San Mateo,1.12333E+11,1.1707E+11,1.217E+11
Santa Barbara,26806462000,27672000000,28412000000
Santa Clara,2.82457E+11,3.0402E+11,3.181E+11
Santa Cruz,13387600000,13838000000,14407000000
Shasta,7852040000,7826545000,8412829000
Sierra,91377000,98144000,112020000
Siskiyou,1791452000,1796813000,1933447000
Solano,21428966000,21855000000,22638000000
Sonoma,27304379000,28320000000,29064000000
Stanislaus,22236701000,22847000000,23716000000
Sutter,3407840000,3599835000,3762601000
Tehama,2070635000,2105941000,2276824000
Trinity,423365000,421184000,452982000
Tulare,18223241000,18271000000,19351000000
Tuolumne,2640431000,2508458000,2793179000
Ventura,46651726000,47163000000,48497000000
Yolo,13560559000,14015000000,14391000000
Yuba,3094336000,3109541000,3345409000